adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote
0000073124-26-000016,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2025,20241231,0,USD,,,-814000000.0,
0000073124-26-000016,AdditionalPaidInCapital,us-gaap/2025,20241231,0,USD,ConsolidatedEntities=ParentCompany;,,1025300000.0,
0000073124-26-000016,AllowanceForCreditLossExcludingOffBalanceSheetCreditLossLiability,0000073124-26-000016,20241231,0,USD,,,175500000.0,
0000073124-26-000016,Assets,us-gaap/2025,20241231,0,USD,Geographical=NonUs;,,52343800000.0,
0000073124-26-000016,CashAndDueFromBanks,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel3;FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;,,0.0,
0000073124-26-000016,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,us-gaap/2025,20251231,0,USD,,,5873100000.0,
0000073124-26-000016,CommonStockParOrStatedValuePerShare,us-gaap/2025,20241231,0,USD,,,1.6667,
0000073124-26-000016,CreditLossExpenseReversalAndAvailableForSaleAllowanceForCreditLoss,0000073124-26-000016,20231231,4,USD,,,24500000.0,
0000073124-26-000016,CreditLossExpenseReversalAndAvailableForSaleAllowanceForCreditLoss,0000073124-26-000016,20231231,4,USD,BusinessSegments=WealthManagementSegment;ConsolidationItems=OperatingSegments;,,24000000.0,
0000073124-26-000016,CreditLossExpenseReversalAndAvailableForSaleAllowanceForCreditLoss,0000073124-26-000016,20241231,4,USD,ConsolidationItems=CorporateAndReconcilingItems;,,-7200000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestAfterAllowanceForCreditLoss,us-gaap/2025,20241231,0,USD,FinancialInstrument=OtherAssetBackedSecurities;,,2188600000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestAfterAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancialInstrument=CorporateDebtSecurities;,,65100000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestAfterAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancialInstrument=USGovernmentAgenciesDebtSecurities;,,16616700000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestAfterAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancialInstrument=USStatesAndPoliticalSubdivisions;,,322400000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestAfterAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancialInstrument=USTreasuryAndGovernment;,,8148000000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20241231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=CommercialMortgageBackedSecurities;,,0.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20241231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=SubSovereignSupranationalAndNonUsAgencyBonds;,,0.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20241231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel3;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;,,0.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20241231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel3;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=CoveredBonds;,,0.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;,,8172400000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=USGovernmentAgenciesDebtSecurities;,,0.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;,,25864100000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=CorporateDebtSecurities;,,64400000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel3;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;,,0.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel3;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=ForeignGovernmentDebtSecurities;,,0.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel3;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=USGovernmentAgenciesDebtSecurities;,,0.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20251231,0,USD,FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=OtherAssetBackedSecurities;,,2725100000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20251231,0,USD,FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=SubSovereignSupranationalAndNonUsAgencyBonds;,,4984300000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20251231,0,USD,FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=USStatesAndPoliticalSubdivisions;,,313100000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20251231,0,USD,FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=USTreasuryAndGovernment;,,8172400000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20251231,0,USD,FinancialInstrument=CommercialMortgageBackedSecurities;,,409000000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20251231,0,USD,FinancialInstrument=CoveredBonds;,,273500000.0,
0000073124-26-000016,DebtSecuritiesHeldToMaturityExcludingAccruedInterestAfterAllowanceForCreditLoss,us-gaap/2025,20241231,0,USD,FinancialInstrument=CommercialMortgageBackedSecurities;,,37600000.0,
0000073124-26-000016,DebtSecuritiesHeldToMaturityExcludingAccruedInterestAfterAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancialInstrument=ForeignGovernmentDebtSecurities;,,4741000000.0,
0000073124-26-000016,DefinedBenefitPlanBenefitObligationIncreaseDecreaseForAmortizationPeriodAdjustment,0000073124-26-000016,20231231,4,USD,,,405200000.0,
0000073124-26-000016,DefinedBenefitPlanBenefitObligationIncreaseDecreaseForAmortizationPeriodAdjustment,0000073124-26-000016,20241231,4,USD,BusinessSegments=WealthManagementSegment;ConsolidationItems=OperatingSegments;,,87400000.0,
0000073124-26-000016,Deposits,us-gaap/2025,20241231,0,USD,,,122482700000.0,
0000073124-26-000016,Deposits,us-gaap/2025,20241231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;,,0.0,
0000073124-26-000016,Deposits,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;,,0.0,
0000073124-26-000016,DepreciationAmortizationAndAccretionNet,us-gaap/2025,20241231,4,USD,,,716800000.0,
0000073124-26-000016,DividendsPreferredStock,us-gaap/2025,20241231,4,USD,,,41800000.0,
0000073124-26-000016,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,us-gaap/2025,20231231,4,USD,,,-89800000.0,
0000073124-26-000016,FederalFundsPurchased,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel3;FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;,,0.0,
0000073124-26-000016,FederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResell,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;,,0.0,
